Name,State,year,District,Party,Amount,first_amount,second_amount
"Representative Abraham, Ralph Lee",Louisiana,House: 2015-Present,5,Republican,3000.00,2000,1000
"Representative Adams, Alma S.",North Carolina,House: 2014-Present,12,Democratic,12000.00,7000,5000
"Representative Aderholt, Robert B.",Alabama,House: 1997-Present,4,Republican,90000.00,42000,48000
"Representative Aguilar, Pete",California,House: 2015-Present,31,Democratic,44000.00,13500,30500
"Senator Alexander, Lamar",Tennessee,Senate: 2003-Present,,Republican,287000.00,140500,146500
"Representative Allen, Rick W.",Georgia,House: 2015-Present,12,Republican,2000.00,1000,1000
"Representative Allred, Colin Z.",Texas,House: 2019-Present,32,Democratic,0.00,0,0
"Representative Amash, Justin",Michigan,House: 2011-Present,3,Republican,0.00,0,0
"Representative Amodei, Mark E.",Nevada,House: 2011-Present,2,Republican,2000.00,2000,0
"Representative Armstrong, Kelly",North Dakota,House: 2019-Present,,Republican,0.00,0,0
"Representative Arrington, Jodey C.",Texas,House: 2017-Present,19,Republican,3000.00,,3000
"Representative Ashford, Brad",Nebraska,House: 2015-2017,2,Democratic,0.00,0,0
"Representative Axne, Cynthia",Iowa,House: 2019-Present,3,Democratic,0.00,0,0
"Senator Ayotte, Kelly",New Hampshire,Senate: 2011-2017,,Republican,0.00,0,0
"Representative Babin, Brian",Texas,House: 2015-Present,36,Republican,1000.00,0,1000
"Representative Bacon, Don",Nebraska,House: 2017-Present,2,Republican,6000.00,0,6000
"Representative Baird, James R.",Indiana,House: 2019-Present,4,Republican,0.00,0,0
"Representative Balderson, Troy",Ohio,House: 2018-Present,12,Republican,0.00,0,0
"Senator Baldwin, Tammy",Wisconsin,Senate: 2013-Present | House: 1999-2013,,Democratic,16196.00,11696,4500
"Representative Banks, Jim",Indiana,House: 2017-Present,3,Republican,18000.00,0,18000
"Representative Barletta, Lou",Pennsylvania,House: 2011-2019,11,Republican,9500.00,7000,2500
"Representative Barr, Andy",Kentucky,House: 2013-Present,6,Republican,33000.00,13500,19500
"Representative Barragan, Nanette Diaz",California,House: 2017-Present,44,Democratic,5000.00,0,5000
"Senator Barrasso, John",Wyoming,Senate: 2007-Present,,Republican,264000.00,92000,172000
"Representative Barton, Joe",Texas,House: 1985-2019,6,Republican,44000.00,34000,10000
"Representative Bass, Karen",California,House: 2011-Present,37,Democratic,15500.00,2500,13000
"Representative Beatty, Joyce",Ohio,House: 2013-Present,3,Democratic,21500.00,12000,9500
"Representative Becerra, Xavier",California,House: 1993-2017,34,Democratic,0.00,0,0
"Representative Benishek, Dan",Michigan,House: 2011-2017,1,Republican,0.00,0,0
"Senator Bennet, Michael F.",Colorado,Senate: 2009-Present,,Democratic,285500.00,203500,82000
"Representative Bera, Ami",California,House: 2013-Present,7,Democratic,131000.00,56000,75000
"Representative Bergman, Jack",Michigan,House: 2017-Present,1,Republican,5500.00,0,5500
"Representative Beyer, Donald S., Jr.",Virginia,House: 2015-Present,8,Democratic,28000.00,15500,12500
"Representative Biggs, Andy",Arizona,House: 2017-Present,5,Republican,1000.00,0,1000
"Representative Bilirakis, Gus M.",Florida,House: 2007-Present,12,Republican,87500.00,46000,41500
"Representative Bishop, Mike",Michigan,House: 2015-2019,8,Republican,66000.00,10000,56000
"Representative Bishop, Rob",Utah,House: 2003-Present,1,Republican,12000.00,7000,5000
"Representative Bishop, Sanford D., Jr.",Georgia,House: 1993-Present,2,Democratic,4500.00,3500,1000
"Representative Black, Diane",Tennessee,House: 2011-2019,6,Republican,100000.00,68500,31500
"Senator Blackburn, Marsha",Tennessee,Senate: 2019-Present | House: 2003-2019,,Republican,165000.00,81000,84000
"Representative Blum, Rod",Iowa,House: 2015-2019,1,Republican,3000.00,2000,1000
"Representative Blumenauer, Earl",Oregon,House: 1995-Present,3,Democratic,12500.00,7500,5000
"Senator Blumenthal, Richard",Connecticut,Senate: 2011-Present,,Democratic,69500.00,56500,13000
"Representative Blunt Rochester, Lisa",Delaware,House: 2017-Present,,Democratic,25000.00,0,25000
"Senator Blunt, Roy",Missouri,Senate: 2011-Present | House: 1997-2011,,Republican,340500.00,194000,146500
"Representative Boehner, John A.",Ohio,House: 1991-2015,8,Republican,0.00,0,0
"Representative Bonamici, Suzanne",Oregon,House: 2012-Present,1,Democratic,24500.00,15000,9500
"Senator Booker, Cory A.",New Jersey,Senate: 2013-Present,,Democratic,84500.00,84500,0
"Senator Boozman, John",Arkansas,Senate: 2011-Present | House: 2001-2011,,Republican,53000.00,47500,5500
"Representative Bordallo, Madeleine Z.",Guam,House: 2003-2019,,Democratic,0.00,0,0
"Representative Bost, Mike",Illinois,House: 2015-Present,12,Republican,28500.00,11000,17500
"Representative Boustany, Charles W., Jr.",Louisiana,House: 2005-2017,3,Republican,0.00,0,0
"Senator Boxer, Barbara",California,Senate: 1993-2017 | House: 1983-1993,,Democratic,0.00,0,0
"Representative Boyle, Brendan F.",Pennsylvania,House: 2015-Present,2,Democratic,79000.00,31000,48000
"Representative Brady, Kevin",Texas,House: 1997-Present,8,Republican,391700.00,195700,196000
"Representative Brady, Robert A.",Pennsylvania,House: 1997-2019,1,Democratic,0.00,0,0
"Representative Brat, Dave",Virginia,House: 2014-2019,7,Republican,0.00,0,0
"Senator Braun, Mike ",Indiana,Senate: 2019-Present,,Republican,0.00,0,0
"Representative Bridenstine, Jim",Oklahoma,House: 2013-2018,1,Republican,0.00,0,0
"Representative Brindisi, Anthony",New York,House: 2019-Present,22,Democratic,0.00,0,0
"Representative Brooks, Mo",Alabama,House: 2011-Present,5,Republican,6000.00,6000,0
"Representative Brooks, Susan W.",Indiana,House: 2013-Present,5,Republican,142500.00,65000,77500
"Representative Brown, Anthony G.",Maryland,House: 2017-Present,4,Democratic,18500.00,0,18500
"Representative Brown, Corrine",Florida,House: 1993-2017,5,Democratic,0.00,0,0
"Senator Brown, Sherrod",Ohio,Senate: 2007-Present | House: 1993-2007,,Democratic,0.00,0,0
"Representative Brownley, Julia",California,House: 2013-Present,26,Democratic,24000.00,11000,13000
"Representative Buchanan, Vern",Florida,House: 2007-Present,16,Republican,30500.00,15000,15500
"Representative Buck, Ken",Colorado,House: 2015-Present,4,Republican,1000.00,1000,0
"Representative Bucshon, Larry",Indiana,House: 2011-Present,8,Republican,161500.00,64000,97500
"Representative Budd, Ted",North Carolina,House: 2017-Present,13,Republican,0.00,0,0
"Representative Burchett, Tim",Tennessee,House: 2019-Present,2,Republican,0.00,0,0
"Representative Burgess, Michael C.",Texas,House: 2003-Present,26,Republican,278392.00,124700,153692
"Senator Burr, Richard",North Carolina,Senate: 2005-Present | House: 1995-2005,,Republican,366599.00,280099,86500
"Representative Bustos, Cheri",Illinois,House: 2013-Present,17,Democratic,86500.00,24500,62000
"Representative Butterfield, G. K.",North Carolina,House: 2004-Present,1,Democratic,151900.00,"87,900",64000
"Representative Byrne, Bradley",Alabama,House: 2014-Present,1,Republican,4000.00,3000,1000
"Representative Calvert, Ken",California,House: 1993-Present,42,Republican,4500.00,2000,2500
"Senator Cantwell, Maria",Washington,Senate: 2001-Present | House: 1993-1995,,Democratic,0.00,0,0
"Senator Capito, Shelley Moore",West Virginia,Senate: 2015-Present | House: 2001-2015,,Republican,35500.00,17000,18500
"Representative Capps, Lois",California,House: 1997-2017,24,Democratic,0.00,0,0
"Representative Capuano, Michael E.",Massachusetts,House: 1999-2019,7,Democratic,0.00,0,0
"Representative Carbajal, Salud O.",California,House: 2017-Present,24,Democratic,7000.00,0,7000
"Representative Cardenas, Tony",California,House: 2013-Present,29,Democratic,168500.00,84000,84500
"Senator Cardin, Benjamin L.",Maryland,Senate: 2007-Present | House: 1987-2007,,Democratic,37000.00,18000,19000
"Representative Carney, John C., Jr.",Delaware,House: 2011-2017,,Democratic,0.00,0,0
"Senator Carper, Thomas R.",Delaware,Senate: 2001-Present | House: 1983-1993,,Democratic,247200.00,105500,141700
"Representative Carson, Andre",Indiana,House: 2008-Present,7,Democratic,31000.00,17000,14000
"Representative Carter, Earl L. ""Buddy""",Georgia,House: 2015-Present,1,Republican,85000.00,15000,70000
"Representative Carter, John R.",Texas,House: 2003-Present,31,Republican,1000.00,1000,0
"Representative Cartwright, Matt",Pennsylvania,House: 2013-Present,8,Democratic,11000.00,3500,7500
"Representative Case, Ed",Hawaii,"House: 2002-2007, 2019-Present",1,Democratic,0.00,0,0
"Senator Casey, Robert P., Jr.",Pennsylvania,Senate: 2007-Present,,Democratic,264700.00,118700,146000
"Senator Cassidy, Bill",Louisiana,Senate: 2015-Present | House: 2009-2015,,Republican,234000.00,106000,128000
"Representative Casten, Sean",Illinois,House: 2019-Present,6,Democratic,0.00,0,0
"Representative Castor, Kathy",Florida,House: 2007-Present,14,Democratic,9000.00,4000,5000
"Representative Castro, Joaquin",Texas,House: 2013-Present,20,Democratic,17500.00,11500,6000
"Representative Chabot, Steve",Ohio,"House: 1995-2009, 2011-Present",1,Republican,4574.00,2000,2574
"Representative Chaffetz, Jason",Utah,House: 2009-2017,3,Republican,0.00,0,0
