STATEFP,STATE,STATEABBREVIATION,DISTRICT,YEAR,INDICATOR,VALUE
1,Alabama,AL,1,2010,drugdeaths,81
1,Alabama,AL,1,2011,drugdeaths,88
1,Alabama,AL,1,2012,drugdeaths,93
1,Alabama,AL,1,2013,drugdeaths,99
1,Alabama,AL,1,2014,drugdeaths,107
1,Alabama,AL,1,2015,drugdeaths,112
1,Alabama,AL,1,2016,drugdeaths,96
1,Alabama,AL,1,2017,drugdeaths,89
1,Alabama,AL,2,2010,drugdeaths,31
1,Alabama,AL,2,2011,drugdeaths,13
1,Alabama,AL,2,2012,drugdeaths,27
1,Alabama,AL,2,2013,drugdeaths,30
1,Alabama,AL,2,2014,drugdeaths,42
1,Alabama,AL,2,2015,drugdeaths,28
1,Alabama,AL,2,2016,drugdeaths,16
1,Alabama,AL,2,2017,drugdeaths,29
1,Alabama,AL,3,2010,drugdeaths,54
1,Alabama,AL,3,2011,drugdeaths,32
1,Alabama,AL,3,2012,drugdeaths,47
1,Alabama,AL,3,2013,drugdeaths,53
1,Alabama,AL,3,2014,drugdeaths,84
1,Alabama,AL,3,2015,drugdeaths,72
1,Alabama,AL,3,2016,drugdeaths,70
1,Alabama,AL,3,2017,drugdeaths,101
1,Alabama,AL,4,2010,drugdeaths,83
1,Alabama,AL,4,2011,drugdeaths,95
1,Alabama,AL,4,2012,drugdeaths,126
1,Alabama,AL,4,2013,drugdeaths,158
1,Alabama,AL,4,2014,drugdeaths,127
1,Alabama,AL,4,2015,drugdeaths,130
1,Alabama,AL,4,2016,drugdeaths,121
1,Alabama,AL,4,2017,drugdeaths,156
1,Alabama,AL,5,2010,drugdeaths,78
1,Alabama,AL,5,2011,drugdeaths,68
1,Alabama,AL,5,2012,drugdeaths,61
1,Alabama,AL,5,2013,drugdeaths,41
1,Alabama,AL,5,2014,drugdeaths,35
1,Alabama,AL,5,2015,drugdeaths,67
1,Alabama,AL,5,2016,drugdeaths,84
1,Alabama,AL,5,2017,drugdeaths,108
1,Alabama,AL,6,2010,drugdeaths,107
1,Alabama,AL,6,2011,drugdeaths,112
1,Alabama,AL,6,2012,drugdeaths,127
1,Alabama,AL,6,2013,drugdeaths,139
1,Alabama,AL,6,2014,drugdeaths,227
1,Alabama,AL,6,2015,drugdeaths,216
1,Alabama,AL,6,2016,drugdeaths,259
1,Alabama,AL,6,2017,drugdeaths,258
1,Alabama,AL,7,2010,drugdeaths,105
1,Alabama,AL,7,2011,drugdeaths,107
1,Alabama,AL,7,2012,drugdeaths,120
1,Alabama,AL,7,2013,drugdeaths,139
1,Alabama,AL,7,2014,drugdeaths,218
1,Alabama,AL,7,2015,drugdeaths,206
1,Alabama,AL,7,2016,drugdeaths,246
1,Alabama,AL,7,2017,drugdeaths,257
2,Alaska,AK,1,2010,drugdeaths,83
2,Alaska,AK,1,2011,drugdeaths,107
2,Alaska,AK,1,2012,drugdeaths,129
2,Alaska,AK,1,2013,drugdeaths,105
2,Alaska,AK,1,2014,drugdeaths,124
2,Alaska,AK,1,2015,drugdeaths,122
2,Alaska,AK,1,2016,drugdeaths,128
2,Alaska,AK,1,2017,drugdeaths,147
4,Arizona,AZ,1,2010,drugdeaths,1026
4,Arizona,AZ,1,2011,drugdeaths,1019
4,Arizona,AZ,1,2012,drugdeaths,1063
4,Arizona,AZ,1,2013,drugdeaths,1170
4,Arizona,AZ,1,2014,drugdeaths,1127
4,Arizona,AZ,1,2015,drugdeaths,1176
4,Arizona,AZ,1,2016,drugdeaths,1292
4,Arizona,AZ,1,2017,drugdeaths,1446
4,Arizona,AZ,2,2010,drugdeaths,229
4,Arizona,AZ,2,2011,drugdeaths,193
4,Arizona,AZ,2,2012,drugdeaths,238
4,Arizona,AZ,2,2013,drugdeaths,228
4,Arizona,AZ,2,2014,drugdeaths,244
4,Arizona,AZ,2,2015,drugdeaths,266
4,Arizona,AZ,2,2016,drugdeaths,266
4,Arizona,AZ,2,2017,drugdeaths,275
4,Arizona,AZ,3,2010,drugdeaths,888
4,Arizona,AZ,3,2011,drugdeaths,887
4,Arizona,AZ,3,2012,drugdeaths,922
4,Arizona,AZ,3,2013,drugdeaths,995
4,Arizona,AZ,3,2014,drugdeaths,990
4,Arizona,AZ,3,2015,drugdeaths,1028
4,Arizona,AZ,3,2016,drugdeaths,1135
4,Arizona,AZ,3,2017,drugdeaths,1302
4,Arizona,AZ,4,2010,drugdeaths,807
4,Arizona,AZ,4,2011,drugdeaths,810
4,Arizona,AZ,4,2012,drugdeaths,851
4,Arizona,AZ,4,2013,drugdeaths,919
4,Arizona,AZ,4,2014,drugdeaths,902
4,Arizona,AZ,4,2015,drugdeaths,934
4,Arizona,AZ,4,2016,drugdeaths,1041
4,Arizona,AZ,4,2017,drugdeaths,1183
4,Arizona,AZ,5,2010,drugdeaths,609
4,Arizona,AZ,5,2011,drugdeaths,627
4,Arizona,AZ,5,2012,drugdeaths,630
4,Arizona,AZ,5,2013,drugdeaths,705
4,Arizona,AZ,5,2014,drugdeaths,695
4,Arizona,AZ,5,2015,drugdeaths,707
4,Arizona,AZ,5,2016,drugdeaths,797
4,Arizona,AZ,5,2017,drugdeaths,969
4,Arizona,AZ,6,2010,drugdeaths,609
4,Arizona,AZ,6,2011,drugdeaths,627
4,Arizona,AZ,6,2012,drugdeaths,630
4,Arizona,AZ,6,2013,drugdeaths,705
4,Arizona,AZ,6,2014,drugdeaths,695
4,Arizona,AZ,6,2015,drugdeaths,707
4,Arizona,AZ,6,2016,drugdeaths,797
4,Arizona,AZ,6,2017,drugdeaths,969
4,Arizona,AZ,7,2010,drugdeaths,609
4,Arizona,AZ,7,2011,drugdeaths,627
4,Arizona,AZ,7,2012,drugdeaths,630
4,Arizona,AZ,7,2013,drugdeaths,705
4,Arizona,AZ,7,2014,drugdeaths,695
4,Arizona,AZ,7,2015,drugdeaths,707
4,Arizona,AZ,7,2016,drugdeaths,797
4,Arizona,AZ,7,2017,drugdeaths,969
4,Arizona,AZ,8,2010,drugdeaths,609
4,Arizona,AZ,8,2011,drugdeaths,627
4,Arizona,AZ,8,2012,drugdeaths,630
4,Arizona,AZ,8,2013,drugdeaths,705
4,Arizona,AZ,8,2014,drugdeaths,695
4,Arizona,AZ,8,2015,drugdeaths,707
4,Arizona,AZ,8,2016,drugdeaths,797
4,Arizona,AZ,8,2017,drugdeaths,969
4,Arizona,AZ,9,2010,drugdeaths,609
4,Arizona,AZ,9,2011,drugdeaths,627
4,Arizona,AZ,9,2012,drugdeaths,630
4,Arizona,AZ,9,2013,drugdeaths,705
4,Arizona,AZ,9,2014,drugdeaths,695
4,Arizona,AZ,9,2015,drugdeaths,707
4,Arizona,AZ,9,2016,drugdeaths,797
4,Arizona,AZ,9,2017,drugdeaths,969
5,Arkansas,AR,1,2010,drugdeaths,29
5,Arkansas,AR,1,2011,drugdeaths,13
5,Arkansas,AR,1,2012,drugdeaths,10
5,Arkansas,AR,1,2013,drugdeaths,32
5,Arkansas,AR,1,2014,drugdeaths,25
5,Arkansas,AR,1,2015,drugdeaths,54
5,Arkansas,AR,1,2016,drugdeaths,28
5,Arkansas,AR,1,2017,drugdeaths,52
5,Arkansas,AR,2,2010,drugdeaths,71
5,Arkansas,AR,2,2011,drugdeaths,70
5,Arkansas,AR,2,2012,drugdeaths,79
5,Arkansas,AR,2,2013,drugdeaths,78
5,Arkansas,AR,2,2014,drugdeaths,84
5,Arkansas,AR,2,2015,drugdeaths,83
5,Arkansas,AR,2,2016,drugdeaths,101
5,Arkansas,AR,2,2017,drugdeaths,128
5,Arkansas,AR,3,2010,drugdeaths,82
5,Arkansas,AR,3,2011,drugdeaths,94
