state,num,FIPS
Alabama,5875,1
Alaska,945,2
Arizona,5547,4
Arkansas,2070,5
California,208839,6
Colorado,11115,8
Connecticut,15043,9
Delaware,1619,10
Florida,1143,12
Georgia,66029,13
Hawaii,15601,15
Idaho,2270,16
Illinois,1625,17
Indiana,86055,18
Iowa,10458,19
Kansas,1246,20
Kentucky,1656,21
Louisiana,8778,22
Maine,8274,23
Maryland,1723,24
Massachusetts,26230,25
Michigan,36715,26
Minnesota,30205,27
Mississippi,8478,28
Missouri,1484,29
Montana,11220,30
Nebraska,1015,31
Nevada,1320,32
New Hampshire,11721,33
New Jersey,4124,34
New Mexico,29106,35
New York,7149,36
North Carolina,61947,37
North Dakota,14770,38
Ohio,329,39
Oklahoma,6141,40
Oregon,6030,41
Pennsylvania,58198,42
Rhode Island,3230,44
South Carolina,7643,45
South Dakota,469,46
Tennessee,10371,47
Texas,79761,48
Utah,9265,49
Vermont,750,50
Virginia,9005,51
Washington,20400,53
West Virginia,4577,54
Wisconsin,12976,55
Wyoming,739,56
