Name,State,District,Party,Amount
"Representative Abraham, Ralph Lee",Louisiana,5,Republican,3000
"Representative Adams, Alma S.",North Carolina,12,Democratic,12000
"Representative Aderholt, Robert B.",Alabama,4,Republican,90000
"Representative Aguilar, Pete",California,31,Democratic,44000
"Senator Alexander, Lamar",Tennessee,,Republican,287000
"Representative Allen, Rick W.",Georgia,12,Republican,2000
"Representative Allred, Colin Z.",Texas,32,Democratic,0
"Representative Amash, Justin",Michigan,3,Republican,0
"Representative Amodei, Mark E.",Nevada,2,Republican,2000
"Representative Armstrong, Kelly",North Dakota,,Republican,0
"Representative Arrington, Jodey C.",Texas,19,Republican,3000
"Representative Ashford, Brad",Nebraska,2,Democratic,0
"Representative Axne, Cynthia",Iowa,3,Democratic,0
"Senator Ayotte, Kelly",New Hampshire,,Republican,0
"Representative Babin, Brian",Texas,36,Republican,1000
"Representative Bacon, Don",Nebraska,2,Republican,6000
"Representative Baird, James R.",Indiana,4,Republican,0
"Representative Balderson, Troy",Ohio,12,Republican,0
"Senator Baldwin, Tammy",Wisconsin,,Democratic,16196
"Representative Banks, Jim",Indiana,3,Republican,18000
"Representative Barletta, Lou",Pennsylvania,11,Republican,9500
"Representative Barr, Andy",Kentucky,6,Republican,33000
"Representative Barragan, Nanette Diaz",California,44,Democratic,5000
"Senator Barrasso, John",Wyoming,,Republican,264000
"Representative Barton, Joe",Texas,6,Republican,44000
"Representative Bass, Karen",California,37,Democratic,15500
"Representative Beatty, Joyce",Ohio,3,Democratic,21500
"Representative Becerra, Xavier",California,34,Democratic,0
"Representative Benishek, Dan",Michigan,1,Republican,0
"Senator Bennet, Michael F.",Colorado,,Democratic,285500
"Representative Bera, Ami",California,7,Democratic,131000
"Representative Bergman, Jack",Michigan,1,Republican,5500
"Representative Beyer, Donald S., Jr.",Virginia,8,Democratic,28000
"Representative Biggs, Andy",Arizona,5,Republican,1000
"Representative Bilirakis, Gus M.",Florida,12,Republican,87500
"Representative Bishop, Mike",Michigan,8,Republican,66000
"Representative Bishop, Rob",Utah,1,Republican,12000
"Representative Bishop, Sanford D., Jr.",Georgia,2,Democratic,4500
"Representative Black, Diane",Tennessee,6,Republican,100000
"Senator Blackburn, Marsha",Tennessee,,Republican,165000
"Representative Blum, Rod",Iowa,1,Republican,3000
"Representative Blumenauer, Earl",Oregon,3,Democratic,12500
"Senator Blumenthal, Richard",Connecticut,,Democratic,69500
"Representative Blunt Rochester, Lisa",Delaware,,Democratic,25000
"Senator Blunt, Roy",Missouri,,Republican,340500
"Representative Boehner, John A.",Ohio,8,Republican,0
"Representative Bonamici, Suzanne",Oregon,1,Democratic,24500
"Senator Booker, Cory A.",New Jersey,,Democratic,84500
"Senator Boozman, John",Arkansas,,Republican,53000
"Representative Bordallo, Madeleine Z.",Guam,,Democratic,0
"Representative Bost, Mike",Illinois,12,Republican,28500
"Representative Boustany, Charles W., Jr.",Louisiana,3,Republican,0
"Senator Boxer, Barbara",California,,Democratic,0
"Representative Boyle, Brendan F.",Pennsylvania,2,Democratic,79000
"Representative Brady, Kevin",Texas,8,Republican,391700
"Representative Brady, Robert A.",Pennsylvania,1,Democratic,0
"Representative Brat, Dave",Virginia,7,Republican,0
"Senator Braun, Mike ",Indiana,,Republican,0
"Representative Bridenstine, Jim",Oklahoma,1,Republican,0
"Representative Brindisi, Anthony",New York,22,Democratic,0
"Representative Brooks, Mo",Alabama,5,Republican,6000
"Representative Brooks, Susan W.",Indiana,5,Republican,142500
"Representative Brown, Anthony G.",Maryland,4,Democratic,18500
"Representative Brown, Corrine",Florida,5,Democratic,0
"Senator Brown, Sherrod",Ohio,,Democratic,0
"Representative Brownley, Julia",California,26,Democratic,24000
"Representative Buchanan, Vern",Florida,16,Republican,30500
"Representative Buck, Ken",Colorado,4,Republican,1000
"Representative Bucshon, Larry",Indiana,8,Republican,161500
"Representative Budd, Ted",North Carolina,13,Republican,0
