H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,state,FIPS,year,District,Party,Total_YEA,Total_NAY
,Abraham,Amash,,,Abraham,Amash,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Serrano,,,Abraham,Amash,,,Adams,Abraham,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Amash,,,Abraham,Amash,,,Abraham,Adams,,,Abraham,Adams,,,Abraham,Amash,,,Abraham,Amash,,"Representative Abraham, Ralph Lee",Louisiana,22,House: 2015-Present,5,Republican,14,1
,Adams,Brooks (AL),,,Adams,Brooks (AL),,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,,,,Adams,Biggs,,,Aguilar,Aderholt,,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,Biggs,,,Adams,Bass,,,Aderholt,Aguilar,,,Aderholt,Aguilar,,,Adams,Biggs,,,Adams,Massie,,"Representative Adams, Alma S.",North Carolina,37,House: 2014-Present,12,Democratic,9,6
,Aderholt,Gohmert,,,Aderholt,Labrador,,,Allen,Ashford,,,Allen,Ashford,,,Aderholt,,,,Aderholt,Brooks (AL),,,Barragán,Allen,,,Allen,Amash,,,Allen,Barragán,,,Aderholt,Brooks (AL),,,Aderholt,Brown (MD),,,Allen,Barragán,,,Allen,Barragán,,,Aderholt,Brooks (AL),,,Aderholt,,,"Representative Aderholt, Robert B.",Alabama,1,House: 1997-Present,4,Republican,14,1
,Aguilar,Massie,,,Aguilar,Massie,,,Amash,Bass,,,Amash,Bass,,,Aguilar,,,,Aguilar,Gaetz,,,Bass,Amash,,,Amodei,Barragán,,,Amash,Bass,,,Aguilar,Davidson,,,Aguilar,Carson (IN),,,Amash,Bass,,,Amash,Bass,,,Aguilar,Buck,,,Aguilar,,,"Representative Aguilar, Pete",California,6,House: 2015-Present,31,Democratic,11,4
,Allen,Sanford,,,Allen,,,,Amodei,Beatty,,,Amodei,Beatty,,,Allen,,,,Allen,Garrett,,,Beatty,Amodei,,,Arrington,Bass,,,Amodei,Beatty,,,Allen,Gaetz,,,Allen,"Chu, Judy",,,Amodei,Bera,,,Amodei,Bera,,,Allen,Duncan (TN),,,Allen,,,"Representative Allen, Rick W.",Georgia,13,House: 2015-Present,12,Republican,14,1
,Amodei,,,,Amodei,,,,Babin,Becerra,,,Babin,Becerra,,,Amash,,,,Amodei,Gohmert,,,Bera,Arrington,,,Babin,Beatty,,,Arrington,Bera,,,Amodei,Garrett,,,Amodei,Clarke (NY),,,Arrington,Beyer,,,Arrington,Beyer,,,Amodei,Gaetz,,,Amodei,,,"Representative Allred, Colin Z.",Texas,48,House: 2019-Present,32,Democratic,0,0
,Ashford,,,,Ashford,,,,Barletta,Bera,,,Barletta,Beyer,,,Amodei,,,,Arrington,Gonzalez (TX),,,Beyer,Babin,,,Bacon,Bera,,,Babin,Beyer,,,Arrington,Gohmert,,,Arrington,Clay,,,Babin,Bishop (GA),,,Bacon,Bishop (GA),,,Arrington,Garrett,,,Arrington,,,"Representative Amash, Justin",Michigan,26,House: 2011-Present,3,Republican,7,8
,Babin,,,,Babin,,,,Barr,Beyer,,,Barton,Bishop (GA),,,Ashford,,,,Babin,Gosar,,,Bishop (GA),Bacon,,,Banks (IN),Beyer,,,Bacon,Bishop (GA),,,Babin,Labrador,,,Babin,Cleaver,,,Bacon,Blumenauer,,,Banks (IN),Blumenauer,,,Babin,Gosar,,,Babin,,,"Representative Amodei, Mark E.",Nevada,32,House: 2011-Present,2,Republican,14,1
,Barletta,,,,Barletta,,,,Barton,Bishop (GA),,,Benishek,Blumenauer,,,Babin,,,,Bacon,Jones,,,Blum,Banks (IN),,,Barletta,Bishop (GA),,,Banks (IN),Blumenauer,,,Bacon,Massie,,,Bacon,Cohen,,,Banks (IN),Blunt Rochester,,,Barletta,Blunt Rochester,,,Bacon,"Hice, Jody B.",,,Bacon,,,"Representative Armstrong, Kelly",North Dakota,38,House: 2019-Present,,Republican,0,0
,Barr,,,,Barr,,,,Benishek,Blumenauer,,,Bilirakis,Bonamici,,,Barletta,,,,Banks (IN),Labrador,,,Blumenauer,Barletta,,,Barr,Blumenauer,,,Barletta,Blunt Rochester,,,Barr,McClintock,,,Banks (IN),"Davis, Danny",,,Barletta,Bonamici,,,Barr,Bonamici,,,Banks (IN),Jones,,,Banks (IN),,,"Representative Arrington, Jodey C.",Texas,48,House: 2017-Present,19,Republican,9,1
,Barton,,,,Barton,,,,Bilirakis,Bonamici,,,Bishop (MI),"Boyle, Brendan F.",,,Barr,,,,Barletta,Loudermilk,,,Blunt Rochester,Barr,,,Barton,Blunt Rochester,,,Barr,Bonamici,,,Barragán,Perry,,,Barletta,Demings,,,Barr,"Boyle, Brendan F.",,,Barton,"Boyle, Brendan F.",,,Barletta,Massie,,,Barletta,,,"Representative Axne, Cynthia",Iowa,19,House: 2019-Present,3,Democratic,0,0
,Bass,,,,Bass,,,,Bishop (MI),"Boyle, Brendan F.",,,Blackburn,Brady (PA),,,Barton,,,,Barr,Massie,,,Bonamici,Barton,,,Biggs,Bonamici,,,Barton,"Boyle, Brendan F.",,,Barton,Poe (TX),,,Barr,DeSaulnier,,,Barton,Brady (PA),,,Bergman,Brady (PA),,,Barr,McClintock,,,Barr,,,"Representative Babin, Brian",Texas,48,House: 2015-Present,36,Republican,13,1
,Beatty,,,,Beatty,,,,Bishop (UT),Brady (PA),,,Blum,Brown (FL),,,Bass,,,,Barragán,McClintock,,,"Boyle, Brendan F.",Bergman,,,Bilirakis,"Boyle, Brendan F.",,,Bergman,Brady (PA),,,Bass,Yoho,,,Barragán,Doggett,,,Bergman,Brown (MD),,,Biggs,Brown (MD),,,Barragán,Rohrabacher,,,Barragán,,,"Representative Bacon, Don",Nebraska,31,House: 2017-Present,2,Republican,9,1
,Becerra,,,,Becerra,,,,Black,Brown (FL),,,Bost,Brownley (CA),,,Beatty,,,,Barton,Sanford,,,Brady (PA),Biggs,,,Bishop (MI),Brady (PA),,,Biggs,Brown (MD),,,Bera,,,,Barton,Fudge,,,Biggs,Brownley (CA),,,Bishop (MI),Brownley (CA),,,Barton,,,,Barton,,,"Representative Baird, James R.",Indiana,18,House: 2019-Present,4,Republican,0,0
